BuyerRef	DeliveryDate	PaymentDuration	TotalPrice
224	2004-09-13	21	22286.06
224	2003-09-10	13	113656.78
224	2005-03-01	5	118431.82
224	2003-10-30	2	102815.07
225	2004-11-04	117	3237.28
225	2003-09-20	69	431347.16
225	2003-05-23	65	45077.1
225	2003-12-25	64	14750.58
225	2004-11-22	62	116186.23
225	2003-04-26	61	27804.58
225	2004-09-26	54	185634.04
225	2003-06-29	52	118395.09
225	2005-04-06	51	283934.97
225	2005-07-15	48	215044.66
225	2003-04-17	47	90892.3
225	2004-03-26	46	54114.13
225	2004-07-03	23	246226.14
225	2004-05-25	19	19147.44
225	2004-10-03	16	195437.44
226	2005-07-11	63	19308.13
226	2004-08-16	62	105716.43
226	2005-03-03	56	420212.94
226	2003-04-30	50	3840.28
226	2004-03-27	39	103670.91
226	2004-01-05	30	251586.04
226	2003-03-22	28	122628.2
226	2004-06-22	10	14352.76
227	2004-11-25	85	252651.23
227	2004-07-28	67	253313.9
227	2005-05-09	66	479618.5
227	2004-08-21	63	160896.42
227	2005-07-10	62	203988.09
227	2005-03-15	50	132180.59
227	2003-05-22	45	20623.82
227	2005-02-22	44	92654.18
227	2004-03-02	44	1816.4
227	2004-12-20	41	28760.2
227	2003-08-22	40	41819.22
227	2005-01-14	39	144439.66
227	2005-05-03	27	34298.84
227	2004-07-08	14	120847.76
228	2004-07-10	114	306240.42
228	2003-06-01	104	61587.81
228	2004-04-10	67	23026.84
228	2004-06-28	63	143427.7
228	2004-07-03	61	12091.86
228	2004-02-02	42	71472.3
228	2005-03-21	40	29881.85
228	2005-05-31	40	265820.42
228	2004-12-13	36	423622.34
228	2004-05-20	28	228919.95
228	2004-10-15	23	129005.92
228	2004-07-23	17	101268.23
228	2003-07-26	11	21928.2
228	2005-07-22	10	149610.24
228	2003-04-30	9	162764.95
229	2004-01-25	94	164347.51
229	2003-03-13	79	274584.16
229	2004-03-27	65	17343.58
229	2005-03-04	63	205068.6
229	2004-03-20	62	754832.91
229	2004-05-24	62	48808.87
229	2004-08-04	58	242098.51
229	2004-10-05	54	14232.76
229	2004-04-07	48	54330.82
229	2004-12-19	45	259541.89
229	2005-05-24	45	57292.83
229	2005-02-24	35	174750.92
229	2004-08-25	31	299020.96
229	2004-12-12	22	49561.06
229	2005-05-31	22	67803.37
229	2005-06-10	21	58538.96
229	2004-11-01	18	75875.52
229	2004-07-18	12	21162.74
229	2005-02-03	9	52239.7
229	2003-05-22	7	322623.42
229	2005-01-08	1	48530.76
230	2004-11-18	63	50884.75
230	2003-07-29	60	188226.47
230	2004-08-07	58	110062.96
230	2003-09-25	49	86570.98
230	2003-07-23	44	36695.16
230	2005-06-09	40	19811.17
230	2004-09-20	39	505902.95
230	2003-11-03	29	84939.44
230	2003-08-16	7	147428.57
230	2003-07-08	6	188630.35
231	2003-06-26	105	370121.28
231	2003-07-20	72	208387.52
231	2003-04-22	67	155962.2
231	2003-11-29	58	27173.39
231	2004-11-07	55	18403.68
231	2003-11-08	48	73713.7
231	2005-01-02	41	160648.56
231	2004-08-26	19	83120.57
231	2005-02-05	14	257305.65
232	2003-11-06	126	55950.85
232	2003-03-16	88	328160.64
232	2005-06-07	67	16602.94
232	2004-01-01	65	109881.64
232	2004-08-15	63	291026.26
232	2003-08-26	43	407214.74
232	2004-01-06	35	312549.38
232	2003-09-03	20	22685.15
232	2004-09-12	15	23698.83
232	2003-03-14	5	187744.1
232	2003-12-24	2	159890
233	2004-01-31	88	4969.26
233	2003-07-25	69	21924.97
233	2003-05-29	64	136261.91
233	2005-07-13	61	35307.51
233	2003-04-15	51	49957.52
233	2005-05-25	48	190162.56
233	2004-06-10	46	48923.78
233	2003-09-01	38	129669.5
233	2003-08-05	36	70630.37
233	2005-03-13	35	91343.54
233	2003-02-21	28	64270.43
233	2003-06-20	14	44446.02
234	2003-11-23	114	56757.5
234	2003-11-23	64	36017.57
234	2005-02-12	53	283465.66
234	2005-03-01	41	92554.56
234	2004-04-25	39	185948.07
234	2004-05-23	36	298654.11
234	2004-09-13	30	108605.61
234	2003-07-19	20	119700.19
234	2004-07-07	20	88059.71
234	2005-03-19	14	124047.4
234	2004-07-31	7	101913.63
234	2005-05-09	6	119750.12
234	2005-03-01	3	36637.38
235	2004-11-04	126	7480.05
235	2004-11-25	126	34849.19
235	2005-03-04	126	1999.49
235	2004-10-11	61	480508.14
235	2003-05-27	59	61053.46
235	2004-10-26	56	125135.15
235	2003-04-26	49	88014.1
235	2004-05-19	49	241476.61
235	2004-08-24	40	139109.57
235	2005-01-15	31	111039
235	2004-05-03	25	130035.75
235	2003-10-31	21	38398.67
235	2005-02-02	11	82043.29
235	2004-01-10	4	136637.23
236	2004-12-11	96	9747.97
236	2003-06-29	75	87863.89
236	2005-06-30	75	61654.87
236	2003-06-14	66	51216.6
236	2005-03-14	63	132711.15
236	2003-12-10	61	170642.98
236	2004-10-09	58	83331.1
236	2003-06-08	48	72420.73
236	2005-07-12	47	67010.63
236	2005-06-25	43	110.04
236	2004-02-17	29	68247.14
236	2003-06-03	12	368355.02
236	2003-09-15	11	75856.73
236	2003-07-09	9	98213.37
236	2004-05-07	6	56543.34
237	2003-11-17	105	50416
237	2005-06-08	104	137907.84
237	2003-09-10	76	245300.46
237	2003-08-18	59	47512.01
237	2004-10-23	56	387160.93
237	2003-09-23	53	419383.48
237	2003-07-21	48	308483.97
237	2004-11-15	48	261149.26
237	2004-03-21	37	141205.71
237	2005-05-18	33	180065.64
237	2005-05-06	18	161190.44
237	2003-04-01	10	78453.53
237	2004-01-17	10	240479.54
237	2004-08-26	10	26149.48
237	2004-03-17	7	37995.32
237	2003-06-01	6	3037.35
237	2004-12-24	4	93446.48
237	2003-04-24	3	24194.75
237	2003-12-04	1	141506.32
238	2003-09-29	84	73387
238	2003-04-21	77	233350.77
238	2003-10-04	75	207028.78
238	2005-03-31	66	299142.15
238	2003-03-30	47	160294.88
238	2005-04-06	44	47296.39
238	2003-08-20	32	88640.97
238	2004-02-02	31	12961.66
238	2003-04-02	29	42406.13
238	2004-08-05	28	65638.03
238	2003-04-20	13	37972.69
238	2004-12-09	2	25013.54
238	2003-03-06	1	290776.52
239	2003-10-04	86	13379.99
239	2004-12-27	81	245923.48
239	2003-10-08	70	397633.75
239	2005-04-29	67	90981.95
239	2005-06-30	42	114772.08
239	2004-10-13	39	194277.24
239	2004-11-29	23	275185.09
239	2004-08-17	9	35156.64
239	2003-04-08	5	200897.27
240	2004-03-27	86	59169.31
240	2004-03-06	79	362085.04
240	2003-02-13	53	47337.88
240	2005-05-05	46	4627.2
240	2004-05-11	45	337074.78
240	2005-04-29	37	55067.4
240	2003-04-29	35	268679.28
240	2005-01-31	23	412906.54
240	2005-02-26	17	83862.93
240	2004-07-01	16	66122.64
240	2003-02-09	10	241667.22
240	2004-10-12	9	228348.92
240	2005-03-08	7	79362.92
240	2003-07-09	3	58371.32
241	2004-03-22	118	62223.55
241	2004-03-06	90	465947.62
241	2005-02-10	78	44995.12
241	2004-08-24	78	36057.21
241	2004-01-25	62	68395.22
241	2004-06-05	59	262363.22
241	2003-05-14	53	24029.33
241	2004-09-29	30	6983.41
241	2005-04-28	30	154416.81
241	2003-04-20	23	195346.41
241	2003-07-17	21	637062.55
241	2004-09-19	20	106692.04
241	2003-03-11	15	143116.3
241	2005-03-08	14	226094.63
241	2003-09-04	13	270735.22
241	2004-11-22	10	77624.35
242	2005-01-25	83	350473.99
242	2004-08-28	81	8952.66
242	2003-03-25	73	189875.7
242	2003-10-22	72	6205.11
242	2004-03-07	72	222119.72
242	2005-01-08	63	61683.96
242	2004-09-11	57	164995.94
242	2003-10-30	26	33948.16
242	2003-10-29	15	9612.54
242	2003-11-22	8	4749.64
242	2003-08-25	7	195203.62
243	2004-10-02	116	26509.09
243	2004-09-25	87	123409.59
243	2004-03-29	43	119156.36
243	2003-09-16	40	99243.16
243	2004-05-04	39	78793.39
243	2004-11-18	30	8266.88
243	2004-03-07	27	26094.16
243	2005-07-04	27	184469.59
243	2003-09-04	26	175752.45
243	2003-07-22	24	96102.54
243	2003-06-10	23	29417.16
244	2005-05-22	118	65583.06
244	2005-03-21	104	42801.85
244	2004-05-30	100	64673.65
244	2005-06-06	77	16209.53
244	2004-06-25	70	21247.86
244	2004-01-10	68	153141.82
244	2003-05-26	65	25065.5
244	2004-07-26	65	66473.54
244	2003-08-30	64	37085.73
244	2003-06-13	63	23082.1
244	2004-10-02	57	121645.05
244	2003-03-03	55	16907.36
244	2004-05-22	53	28729.41
244	2004-02-15	53	186325.54
244	2003-11-28	47	37966.16
244	2003-12-18	36	102866.51
244	2004-10-30	28	65568.32
244	2005-05-15	22	119679.2
244	2003-11-18	19	220754.26
244	2003-07-03	15	84255.57
244	2005-05-24	11	11437.38
244	2003-08-28	3	107293.33
244	2005-02-26	2	188735.48
245	2004-01-14	122	146642.42
245	2004-09-15	97	516182.96
245	2005-07-13	77	240141.55
245	2004-04-24	67	70924.88
245	2003-05-17	55	214885.1
245	2005-07-09	53	18314.07
245	2004-05-01	52	299366.79
245	2005-08-01	46	21081.32
245	2005-02-17	34	163749.73
245	2005-03-26	14	222020.55
245	2004-04-14	12	302309.78
246	2005-03-29	109	299365.82
246	2003-09-30	99	8365.76
246	2005-01-12	65	161297.91
246	2003-05-28	60	1458
246	2005-01-18	60	37766.95
246	2004-08-10	58	77403.96
246	2003-10-08	55	141624.24
246	2003-11-24	52	249134.2
246	2004-09-19	46	138798.75
246	2004-04-15	40	123978.57
246	2003-08-06	27	36488.21
246	2004-04-11	27	91972.55
246	2004-01-06	4	206132.73
247	2003-05-20	121	42230.18
247	2005-02-10	119	42819.81
247	2003-11-29	85	43064.61
247	2005-06-28	76	474701.91
247	2003-02-28	67	373795.82
247	2004-08-09	64	171225.63
247	2004-02-12	60	72304.04
247	2004-09-09	55	16120.28
247	2005-02-25	53	75078.77
247	2004-07-05	53	38786.83
247	2003-06-22	47	182882.44
247	2004-12-13	37	1412.84
247	2005-05-12	29	319624.99
247	2004-01-12	23	3450.4
247	2005-02-03	22	40035.16
247	2005-02-19	20	239359.35
247	2003-10-16	18	19948.33
248	2003-03-18	116	74238.06
248	2004-10-27	116	506227.69
248	2003-12-29	86	112422.84
248	2004-05-10	84	147489.83
248	2005-06-24	66	26388.56
248	2004-02-09	63	48363.31
248	2005-03-13	60	29003.19
248	2003-03-03	59	31156
248	2004-08-13	57	49229.8
248	2005-06-29	50	143862.1
248	2004-03-02	44	126116.09
248	2003-04-25	22	108275.63
248	2004-11-23	21	97478.17
248	2004-01-23	14	300041.79
248	2005-02-26	10	21095.94
248	2004-05-02	3	267252.3
249	2004-04-17	121	190929.72
249	2005-06-21	54	682.15
249	2004-01-02	48	43267.69
249	2004-06-03	42	54478.46
249	2004-09-21	39	72741.13
249	2003-09-07	31	195476.98
249	2005-01-20	19	181622.04
249	2005-06-13	7	11935.14
250	2005-04-08	117	12310.72
250	2003-10-10	113	47146.15
250	2005-02-15	104	99336.61
250	2003-08-27	104	80844.83
250	2005-07-12	68	213532.49
250	2004-09-16	67	7420.46
250	2003-11-26	61	87826.84
250	2003-07-16	55	336950.75
250	2004-02-16	55	33205.19
250	2004-10-12	40	205351.04
250	2004-09-20	24	302497.12
250	2004-10-18	17	300766.68
250	2004-09-03	15	227110.6
250	2003-04-08	13	18182
250	2003-04-30	13	132008.36
250	2004-11-02	13	31235.74
250	2003-09-05	6	142630.27
251	2003-04-06	119	8720.25
251	2004-12-30	105	48809.95
251	2004-08-08	76	163202.25
251	2003-01-28	68	77257.04
251	2003-09-11	64	184260.22
251	2004-04-18	63	264822.06
251	2003-10-22	61	161960.14
251	2004-04-11	43	146286.9
251	2005-02-13	40	20927.96
251	2004-02-03	37	61790.87
251	2005-07-08	27	58185.48
251	2005-03-23	10	47830.75
251	2005-04-20	9	123544.37
251	2004-10-07	5	294337.81
252	2004-07-23	74	62216.69
252	2003-06-19	67	53432.55
252	2004-09-05	66	20290
252	2004-12-25	57	48534.24
252	2005-06-23	57	233261.22
252	2004-06-10	55	476633.8
252	2003-05-18	46	14895.83
252	2003-03-13	25	338232.42
252	2003-08-15	25	343519.45
252	2004-10-21	20	187338.42
252	2003-07-21	16	85635.45
252	2004-12-15	13	97843.8
252	2005-01-26	10	98141.61
253	2005-04-25	65	27965.32
253	2005-05-13	59	83296.98
253	2005-04-18	58	24747.94
253	2003-03-31	48	62383.84
253	2005-04-01	48	200456.32
253	2004-05-06	46	91684.47
253	2003-09-18	41	412269.55
253	2003-08-23	40	2354.3
253	2005-01-15	29	245251.89
253	2004-10-17	19	311309.09
253	2003-11-28	12	934
254	2003-10-12	106	5863.75
254	2005-01-12	66	145392.86
254	2003-05-16	61	27724.48
254	2003-05-21	60	8973.57
254	2003-07-06	53	19441.81
254	2003-05-05	49	144744.63
254	2004-02-09	45	11632.17
254	2005-03-11	42	153203.6
254	2004-11-28	23	40566.33
254	2004-04-14	22	75564.89
254	2003-03-31	15	44716.07
254	2005-07-19	12	429846.65
254	2004-03-11	7	29402.47
254	2004-02-27	3	236739.69
255	2004-09-01	69	237871.65
255	2004-05-02	64	140192.61
255	2003-10-26	59	522408.39
255	2004-10-08	40	141031.34
255	2004-06-03	39	32995.02
255	2004-02-02	28	25767.86
255	2005-03-23	27	326373.91
255	2003-08-08	11	51063.07
255	2004-08-06	8	83101.9
255	2003-02-13	5	97203.69
256	2004-04-08	67	90885.87
256	2003-12-25	57	42295.16
256	2003-12-29	51	1179.22
256	2004-01-04	48	44448.46
256	2003-10-07	46	233114.47
256	2003-03-20	45	46736.1
256	2005-06-18	42	36973.71
256	2005-05-28	29	46914.15
256	2004-12-18	27	652401.21
256	2003-03-18	9	162389.62
256	2004-07-28	4	62810.41
257	2004-09-23	96	108378.32
257	2005-02-25	82	315034.47
257	2003-07-23	75	312632.43
257	2003-03-13	61	33647.7
257	2003-02-19	57	62126.65
257	2004-06-13	53	50693.7
257	2003-03-08	49	126716.82
257	2005-03-08	44	36150.32
257	2003-07-31	41	88321.81
257	2004-07-14	41	10793.77
257	2005-02-03	39	324593.44
257	2004-03-08	29	282661.44
257	2003-04-09	11	186674.4
257	2005-07-11	11	222107.9
257	2003-11-09	10	76689.84
257	2004-07-19	1	33378.03
258	2004-09-23	120	279626.31
258	2004-04-20	105	89611.28
258	2005-04-16	98	91009.29
258	2004-08-19	95	101963.17
258	2003-10-24	66	60859.43
258	2003-10-14	52	26115.06
258	2004-09-16	48	431139.41
258	2005-07-07	45	219577.12
258	2004-07-24	21	268194.97
258	2005-07-15	11	9934.03
258	2004-05-11	10	288758.25
259	2004-12-26	106	144225.21
259	2005-05-27	78	190681.2
259	2005-01-26	72	32716.77
259	2005-06-21	62	325055.61
259	2004-11-24	58	141880.04
259	2003-04-29	54	137201.3
259	2004-08-02	48	158053.44
259	2004-09-03	39	134929.29
259	2003-08-03	36	43677.89
259	2004-05-18	9	201667.55
259	2005-02-01	7	12258.66
260	2005-01-12	126	145856.14
260	2004-01-18	73	133583.42
260	2003-02-05	67	287848.96
260	2005-05-05	61	50699.98
260	2004-02-21	59	261400.33
260	2003-06-27	49	459593.6
260	2003-05-17	42	119717.14
260	2003-05-25	40	3703.1
260	2003-08-01	39	213364.99
260	2005-04-24	30	2967.46
260	2004-05-08	27	12550.58
260	2003-06-20	21	95932.01
260	2004-12-03	21	84555.16
260	2005-01-25	18	90752.87
260	2003-07-20	17	384489.36
260	2005-07-08	14	124823.85
260	2004-11-27	10	104537.29
260	2003-09-13	2	30308.95
261	2004-07-13	97	97537.23
261	2004-04-15	89	567748.37
261	2004-10-02	77	144092.23
261	2003-06-21	73	175017.83
261	2003-05-14	67	205455.77
261	2003-10-25	57	218820.03
261	2004-08-23	57	20448.62
261	2003-12-24	55	55936.29
261	2004-10-17	53	37125.05
261	2004-02-02	49	57608.44
261	2005-01-17	48	198309.21
261	2004-08-10	24	2824.12
261	2004-11-18	24	52287.25
261	2004-02-14	18	159544.46
261	2004-04-23	16	147026.69
261	2004-04-24	13	124224.37
261	2003-09-07	6	195419.03
261	2005-04-21	6	118311.12
261	2005-06-29	5	146897.42
261	2005-07-10	4	223701.36
262	2004-07-15	98	51830.49
262	2003-11-10	91	94181.45
262	2004-11-27	82	29602.78
262	2003-06-18	62	27805.86
262	2003-08-12	50	279876.34
262	2005-04-26	42	222566.24
262	2005-07-15	40	192713.46
262	2004-03-05	36	8805.92
262	2003-04-11	27	639861.46
262	2003-11-25	14	96637.33
262	2003-08-29	10	90292.66
263	2004-01-09	87	306094.6
263	2005-07-29	71	272935.12
263	2005-03-05	67	17982.6
263	2003-03-18	65	54653.17
263	2005-04-22	57	119566.87
263	2004-09-03	56	52222.03
263	2003-01-24	54	26960.98
263	2004-06-17	52	10226.01
263	2003-05-26	50	157215.68
263	2004-02-21	47	44462.86
263	2003-03-01	45	175209.45
263	2005-03-15	27	286765.53
263	2004-07-19	8	116493.45
264	2003-07-04	125	205555.4
264	2004-02-17	112	115380.73
264	2004-10-04	86	64012.63
264	2005-03-17	85	58603.45
264	2005-02-23	75	492443.81
264	2004-09-21	64	74234.6
264	2003-11-16	60	47468.05
264	2003-08-25	54	8027.76
264	2003-03-27	52	95371.19
264	2003-10-14	52	120281.44
264	2005-07-24	50	1003.99
264	2005-02-14	48	47692.78
264	2003-06-08	48	89169.46
264	2004-11-17	39	88274.82
264	2005-07-25	36	287308.8
264	2003-10-23	30	224706
264	2004-10-07	25	20499.85
264	2005-02-23	15	60935.71
264	2004-07-02	8	20602.56
264	2004-12-28	8	107827.42
264	2004-06-20	5	41265.3
265	2003-03-12	119	136920.53
265	2004-06-28	83	145635.88
265	2003-09-21	70	258790.35
265	2004-02-12	66	325790.33
265	2004-10-23	63	299804.53
265	2005-06-16	61	130589.56
265	2005-06-16	58	316681.81
265	2004-10-18	41	124108.85
265	2004-06-20	21	241804.48
265	2003-11-21	19	89003.05
265	2005-04-02	9	369234.92
265	2004-09-21	8	137200.14
266	2004-04-14	102	127546.11
266	2004-05-21	67	126550.57
266	2003-03-10	66	20490.7
266	2005-07-01	61	357024.9
266	2004-06-06	56	167981.06
266	2003-09-02	48	28933.86
266	2003-10-12	40	71232.03
266	2005-04-26	36	128987.8
266	2004-05-05	23	55374.33
266	2005-02-07	21	235895.28
266	2005-05-07	21	3703.14
266	2003-08-18	19	1735.95
266	2004-11-20	16	152954.24
266	2004-12-04	9	45681.3
267	2004-01-05	76	72177.52
267	2003-11-20	69	148422.72
267	2005-07-16	68	58793.55
267	2004-02-17	63	9718.5
267	2003-04-02	61	35484.54
267	2003-04-26	59	88320.18
267	2004-01-14	50	267965.61
267	2005-03-22	39	233268.2
267	2003-10-29	36	31554.61
267	2004-10-14	29	57316.9
267	2004-01-31	22	95745.28
267	2003-03-28	19	73868.72
267	2004-11-02	11	72005.55
267	2003-04-30	9	150757.6
267	2003-04-17	8	10067.83
267	2004-09-18	3	156505.74
268	2003-12-07	68	297143.13
268	2004-10-30	68	96519.38
268	2004-08-30	65	4314.8
268	2005-01-14	62	173974.17
268	2003-08-06	60	173729.73
268	2003-03-23	59	72448.41
268	2004-05-11	59	318668.68
268	2004-02-05	57	135745.14
268	2003-11-09	53	191382.85
268	2004-07-17	53	143216.64
268	2005-01-19	46	69628.53
268	2004-07-08	30	41357.72
268	2004-07-07	28	76020.35
268	2004-01-21	25	1295895.19
268	2004-11-14	22	51528.91
268	2004-04-25	12	157531.23
268	2005-07-26	12	546280.18
268	2004-02-21	11	53520.9
269	2004-06-14	100	367192.54
269	2005-07-04	60	93060.52
269	2003-06-26	55	191380.62
269	2004-12-09	55	148719.54
269	2003-09-07	49	133308.42
269	2005-05-10	48	138970.89
269	2003-04-25	45	199345.03
269	2005-04-02	45	217171.02
269	2005-05-28	43	48271.14
269	2003-09-19	40	33400.79
269	2003-05-25	36	62425.91
269	2004-09-19	26	44288.48
269	2004-10-26	24	22633.24
269	2005-04-03	24	157255.59
269	2003-06-04	19	32332.21
269	2005-06-26	15	138215.8
269	2005-03-27	13	64337.34
269	2004-01-08	4	93207.07
270	2004-04-11	116	80936.23
270	2004-12-16	50	457990.32
270	2003-08-25	47	48440.55
270	2003-08-29	46	9741.94
270	2004-05-23	45	12542.76
270	2004-01-15	40	333832.67
270	2005-02-10	38	162524.54
270	2005-05-29	38	7106.86
270	2005-06-24	35	56976.33
270	2004-01-27	29	108188.77
270	2004-05-23	23	82169.39
270	2004-06-18	11	226530
270	2004-06-08	10	139049.46
270	2004-12-09	8	48062.4
270	2004-04-12	5	77230.91
271	2004-11-30	71	42893.39
271	2005-06-15	68	153788.37
271	2005-07-02	67	136412.04
271	2003-06-30	65	120844.91
271	2004-02-13	64	95436.72
271	2005-01-29	62	130957.64
271	2003-07-09	55	32399.85
271	2003-07-29	55	104092.8
271	2003-04-08	53	27775.45
271	2004-06-22	49	329302.78
271	2003-06-01	48	2954.33
271	2004-05-02	40	223602
271	2004-05-28	36	445483.93
271	2003-03-17	31	28168.24
271	2003-08-21	26	36609.99
271	2004-01-05	8	65724.93
271	2003-12-29	5	81431.29
271	2003-05-09	4	217230.72
271	2003-12-09	3	144476.54
272	2005-01-12	87	35369.37
272	2004-08-20	77	22257.51
272	2003-03-01	67	133650.07
272	2004-03-16	61	74782.85
272	2003-11-25	56	14348.55
272	2005-03-29	56	65161.18
272	2004-11-14	47	2319.36
272	2004-08-02	44	389106.78
272	2003-06-06	42	138461.7
272	2005-03-03	42	49669.59
272	2004-12-19	39	81872.8
272	2003-11-22	29	81377.28
272	2003-08-14	17	52557.89
272	2005-06-25	17	74227.56
272	2005-05-19	15	108773.4
272	2004-03-16	14	3656.86
272	2005-04-20	14	138435.58
272	2004-02-22	13	419252.66
272	2003-12-01	9	191127.69
272	2004-02-16	9	115754.34
272	2004-06-23	7	10457.98
272	2005-03-18	6	173886.08
272	2003-08-13	4	36726.67
273	2003-07-10	123	7621
273	2005-07-24	78	16385
273	2004-05-03	68	75321.66
273	2003-04-18	66	260881.37
273	2003-09-28	53	765531.14
273	2004-08-28	51	216559.07
273	2004-05-10	45	74959.3
273	2004-08-03	44	49894.83
273	2003-12-25	42	7891.8
273	2005-01-03	37	139708.54
273	2004-09-18	23	103445
273	2003-06-26	21	43677.62
273	2005-05-11	21	78156.4
273	2003-11-03	10	32070.64
274	2004-06-04	67	299862.58
274	2003-05-24	61	32274.51
274	2003-07-21	60	87703.49
274	2004-04-19	60	5610.86
274	2005-06-26	52	63854.8
274	2005-06-10	48	45966.56
274	2003-06-06	26	347187.06
274	2004-03-03	19	30663.54
274	2004-12-18	17	26964.33
274	2005-06-30	6	142200.78
275	2005-07-12	82	70085.52
275	2003-04-03	81	545675.76
275	2004-07-06	81	6587
275	2003-11-24	65	74845.85
275	2005-03-22	65	182482.62
275	2003-04-14	64	126851.59
275	2004-07-28	62	8244.1
275	2003-04-09	61	12871.89
275	2004-03-02	59	125790.25
275	2003-10-16	58	45561.76
275	2005-01-09	56	101848.36
275	2003-04-15	55	43042.38
275	2005-04-15	38	6344.97
275	2004-11-07	19	343737.47
275	2004-09-01	15	10947.23
275	2005-06-16	9	101825.22
276	2004-11-15	93	14518.25
276	2005-02-02	82	18178.49
276	2003-08-10	66	40525.39
276	2004-09-29	66	116478
276	2003-11-14	61	88008.14
276	2003-11-17	57	1863.54
276	2003-11-15	54	26976.25
276	2004-07-19	26	167725.06
276	2004-12-13	19	59692.98
276	2003-12-21	12	79995.92
276	2004-02-25	11	198622.8
277	2003-05-18	109	774806.94
277	2003-09-19	106	5508.8
277	2004-02-23	75	91530.72
277	2005-06-19	71	211192.64
277	2004-12-19	65	246055.54
277	2004-08-03	60	79481.97
277	2004-11-07	59	83712.63
277	2004-01-07	52	427102.83
277	2004-04-02	52	66147.48
277	2004-12-06	49	105194.32
277	2003-08-08	45	125987.11
277	2004-05-17	37	85297.61
277	2003-05-19	28	188153.57
277	2003-06-18	27	7132.58
277	2003-04-23	26	14085.38
277	2003-09-23	20	114950.38
277	2005-03-29	19	121898.45
277	2003-11-07	5	102297.51
277	2003-07-23	2	119428.41
277	2004-10-11	1	41959.88
278	2004-10-11	79	376092.56
278	2004-09-30	68	86517.89
278	2005-02-11	56	179433.5
278	2005-06-17	57	18588.27
278	2003-11-01	53	198448.29
278	2003-03-05	47	206363.31
278	2005-07-18	45	206744.23
278	2005-04-01	37	81647.06
278	2005-07-27	37	5575.12
278	2005-03-13	17	115920.93
278	2003-05-07	14	426130.14
278	2004-11-24	11	310632.03
278	2004-07-15	10	234592.56
278	2004-10-28	10	2289
278	2005-05-29	3	17195.11
279	2005-07-30	77	111838.69
279	2004-01-08	69	136210.72
279	2005-05-07	65	45986.06
279	2004-07-04	44	42926.4
279	2004-07-04	43	4929.47
279	2004-01-22	30	254389.92
279	2004-07-06	21	380061.2
279	2005-02-28	18	214374.16
279	2004-03-21	17	80204.9
279	2004-03-07	16	81338.66
279	2004-06-12	9	41146.89
279	2003-09-24	5	26106.48
279	2004-07-08	2	107.8
280	2004-08-07	127	94642.08
280	2003-10-20	89	30926.5
280	2004-01-03	86	425440.94
280	2004-01-10	52	141053.41
280	2003-05-02	48	196202.38
280	2004-01-13	44	225611.16
280	2003-06-13	42	61286.48
280	2003-11-16	29	3697.44
280	2005-05-16	25	162736.61
280	2004-12-07	19	29998.14
280	2004-09-05	8	243874.87
280	2004-12-10	1	317449.49
280	2005-05-15	1	116424.29
281	2005-07-01	80	22275.03
281	2003-05-03	76	256060.4
281	2004-07-28	76	320264
281	2003-04-25	73	495647.11
281	2004-06-05	67	66621.59
281	2004-02-14	65	93220.38
281	2005-04-21	59	108396.29
281	2003-09-06	48	147076.2
281	2003-08-10	43	33600.08
281	2004-03-31	40	277660.82
281	2004-11-16	30	103431.52
281	2004-06-10	28	414936.13
281	2005-01-04	17	141920.55
281	2005-03-22	14	72727.2
281	2005-01-22	10	85843.72
281	2004-08-13	6	50742.58
281	2004-10-21	6	729829.51
282	2004-08-10	106	146254.76
282	2004-05-17	81	125663.72
282	2005-07-30	68	679128.08
282	2005-02-20	62	265091.98
282	2003-05-15	51	97472.1
282	2004-08-01	51	215583.87
282	2003-04-13	49	433107.92
282	2003-02-19	46	41790.82
282	2004-06-18	38	153548.01
282	2003-05-05	28	347233.67
282	2003-11-27	25	154930.67
282	2004-10-23	24	202851.48
282	2003-06-06	21	243517.17
282	2004-11-02	18	81170.22
282	2004-02-26	11	40247.33
283	2005-06-13	70	15320.89
283	2004-11-20	63	241006.83
283	2004-02-18	47	48578.05
283	2004-02-01	46	83752.18
283	2003-08-30	43	78920.74
283	2004-02-20	43	149219.51
283	2004-11-12	34	112547.33
283	2004-10-30	33	548078.41
283	2004-02-13	17	59878.05
283	2005-01-21	13	173677.4
283	2003-05-07	7	65600.09
283	2004-10-01	1	122733.68
284	2003-06-19	87	181949.42
284	2005-06-18	83	450097.73
284	2005-05-26	66	324037.9
284	2005-04-30	59	107247.39
284	2004-09-11	57	84040.06
284	2004-03-23	50	66424.16
284	2004-04-11	47	683361.82
284	2004-10-04	26	276971.42
284	2005-02-04	20	178286.32
284	2005-07-31	19	109910.22
284	2005-07-03	17	101018.39
284	2005-07-06	10	75980.05
284	2003-10-28	9	29620.03
284	2003-11-24	7	201669.63
285	2003-06-18	124	42794.46
285	2005-06-29	69	83167.25
285	2005-04-04	65	64362.35
285	2005-07-26	57	102454.24
285	2004-09-09	26	284263.07
285	2003-08-11	22	224857.67
285	2003-06-23	2	15662.97
286	2004-06-27	105	327417.6
286	2005-07-30	81	20719.84
286	2004-01-11	60	152195.32
286	2003-09-03	56	26470.26
286	2005-05-14	54	11428.96
286	2003-07-21	52	107251.59
286	2003-08-02	49	7851.98
286	2005-02-12	48	140516.53
286	2004-01-25	45	346472.32
286	2005-03-28	44	50436.77
