PRODUCT;STORE;TDATE;CUSTNUM;UNITS;PROMOTION
Blanc de Blanc Brut;NC1;2000-01-14 0:00:00;90;5;1
Chablis;NC2;2000-01-06 0:00:00;90;4;1
Blanc de Blanc Brut;MC2;2000-01-27 0:00:00;90;1;1
Pinot Noir;NW3;2000-01-12 0:00:00;91;3;1
Claret;SW4;2000-01-05 0:00:00;91;3;1
Sauvignon Blanc;SW4;2000-01-28 0:00:00;91;3;1
Chardonnay;NC1;2000-01-07 0:00:00;91;2;1
Riesling;NC2;2000-01-26 0:00:00;91;2;1
Chablis;MC1;2000-01-25 0:00:00;91;5;1
Claret;MC2;2000-01-15 0:00:00;91;4;1
Zinfandel Blanc de Noir;MW2;2000-01-29 0:00:00;92;3;1
Chablis;SW4;2000-01-01 0:00:00;92;1;0
Cabernet Sauvignon;ME1;2000-01-02 0:00:00;93;2;1
Pinot Noir;SE1;2000-01-13 0:00:00;93;4;1
Cabernet Sauvignon;NW3;2000-01-30 0:00:00;93;2;1
Zinfandel Blanc de Noir;MW2;2000-01-08 0:00:00;93;1;1
Zinfandel Blanc de Noir;MW3;2000-01-17 0:00:00;93;4;1
Sauvignon Blanc;SW3;2000-01-14 0:00:00;93;2;1
Sauvignon Blanc;SW4;2000-01-25 0:00:00;93;5;1
Claret;NC2;2000-01-26 0:00:00;93;4;1
Zinfandel Blanc;NC2;2000-01-10 0:00:00;93;2;1
Zinfandel Blanc;MC2;2000-01-14 0:00:00;93;1;1
Riesling;NE2;2000-01-09 0:00:00;94;3;1
Zinfandel Blanc;SW3;2000-01-14 0:00:00;94;4;1
Zinfandel Blanc de Noir;MC2;2000-01-06 0:00:00;94;3;1
Zinfandel Blanc de Noir;NE3;2000-01-19 0:00:00;95;3;1
Sauvignon Blanc;NC1;2000-01-15 0:00:00;95;5;1
Pinot Noir;MC1;2000-01-22 0:00:00;95;4;1
Pinot Noir;ME1;2000-01-27 0:00:00;96;1;1
Chardonnay;MW2;2000-01-13 0:00:00;96;1;1
Chardonnay;MW3;2000-01-02 0:00:00;96;2;1
Brut--Reserve;SW1;2000-01-01 0:00:00;96;4;0
Sauvignon Blanc;SW3;2000-01-24 0:00:00;96;2;1
Brut--Reserve;NC2;2000-01-29 0:00:00;96;5;1
Merlot;MC3;2000-01-12 0:00:00;96;3;1
Claret;ME2;2000-01-26 0:00:00;97;3;1
Claret;SW1;2000-01-10 0:00:00;97;2;1
Chardonnay;SW1;2000-01-29 0:00:00;97;2;1
Zinfandel Blanc de Noir;NC3;2000-01-18 0:00:00;97;3;1
Chablis;NE2;2000-01-19 0:00:00;98;2;1
Brut--Reserve;NE3;2000-01-11 0:00:00;98;4;1
Chablis;NC3;2000-01-20 0:00:00;98;4;1
Riesling;MC1;2000-01-18 0:00:00;98;3;1
Riesling;MC2;2000-01-24 0:00:00;98;1;1
Zinfandel Blanc de Noir;NW2;2000-01-07 0:00:00;99;5;1
Chardonnay;SW1;2000-01-20 0:00:00;99;3;1
Blanc de Blanc Brut;NC1;2000-01-20 0:00:00;99;1;1
Claret;NC2;2000-01-25 0:00:00;99;1;1
Cabernet Sauvignon;NC3;2000-01-02 0:00:00;99;5;1
Riesling;MC1;2000-01-12 0:00:00;99;4;1
Riesling;NE3;2000-01-30 0:00:00;100;2;1
Chardonnay;SE1;2000-01-12 0:00:00;100;3;1
Claret;SW4;2000-01-20 0:00:00;100;5;1
Merlot;MC1;2000-01-30 0:00:00;100;2;1
Zinfandel Blanc de Noir;MC2;2000-01-03 0:00:00;100;3;1
Zinfandel Blanc;ME1;2000-01-30 0:00:00;101;3;1
Brut--Reserve;ME2;2000-01-05 0:00:00;101;1;1
Blanc de Blanc Brut;ME2;2000-01-20 0:00:00;101;3;1
Merlot;SW3;2000-01-15 0:00:00;101;5;1
Claret;SW3;2000-01-07 0:00:00;101;3;1
Riesling;SW4;2000-01-15 0:00:00;101;4;1
Blanc de Blanc Brut;MC1;2000-01-26 0:00:00;101;4;1
Chardonnay;MC2;2000-01-08 0:00:00;101;3;1
Blanc de Blanc Brut;SE1;2000-01-22 0:00:00;102;3;1
Chardonnay;MW3;2000-01-14 0:00:00;102;5;1
Zinfandel Blanc;SW1;2000-01-18 0:00:00;102;2;1
Pinot Noir;SW2;2000-01-19 0:00:00;102;3;1
Merlot;MC1;2000-01-02 0:00:00;102;5;1
Chardonnay;MC1;2000-01-18 0:00:00;102;3;1
Brut--Reserve;MC3;2000-01-31 0:00:00;102;2;1
Claret;SW4;2000-01-07 0:00:00;103;5;1
Zinfandel Blanc de Noir;NC1;2000-01-07 0:00:00;103;2;1
Brut--Reserve;NC2;2000-01-28 0:00:00;103;3;1
Chablis;NC2;2000-01-26 0:00:00;103;5;1
Pinot Noir;MC3;2000-01-10 0:00:00;103;5;1
Chardonnay;MW2;2000-01-09 0:00:00;104;3;1
Chardonnay;SW4;2000-01-03 0:00:00;104;3;1
Sauvignon Blanc;SW4;2000-01-27 0:00:00;104;2;1
Chablis;NC2;2000-01-24 0:00:00;104;3;1
Brut--Reserve;NC3;2000-01-17 0:00:00;104;4;1
Chardonnay;NE2;2000-01-27 0:00:00;105;4;1
Blanc de Blanc Brut;NW1;2000-01-25 0:00:00;105;3;1
Cabernet Sauvignon;NW1;2000-01-30 0:00:00;105;3;1
Chardonnay;NC2;2000-01-12 0:00:00;105;3;1
Riesling;MC1;2000-01-25 0:00:00;105;2;1
Zinfandel Blanc;MC2;2000-01-25 0:00:00;105;4;1
Riesling;ME2;2000-01-19 0:00:00;106;1;1
Claret;NW2;2000-01-30 0:00:00;106;5;1
Blanc de Blanc Brut;SW1;2000-01-12 0:00:00;106;5;1
Claret;SW2;2000-01-03 0:00:00;106;5;1
Chablis;SW2;2000-01-05 0:00:00;106;4;1
Pinot Noir;MC1;2000-01-15 0:00:00;106;4;1
Zinfandel Blanc de Noir;SE1;2000-01-28 0:00:00;107;2;1
Riesling;NW1;2000-01-03 0:00:00;107;4;1
Sauvignon Blanc;MW1;2000-01-26 0:00:00;107;3;1
Pinot Noir;SW2;2000-01-26 0:00:00;107;4;1
Zinfandel Blanc;MC1;2000-01-06 0:00:00;107;5;1
Chablis;NW3;2000-01-04 0:00:00;108;3;1
Chablis;MW1;2000-01-04 0:00:00;108;3;1
Pinot Noir;MW2;2000-01-11 0:00:00;108;2;1
Zinfandel Blanc;SW1;2000-01-03 0:00:00;108;3;1
Claret;NC3;2000-01-25 0:00:00;108;4;1
Merlot;MC1;2000-01-27 0:00:00;108;1;1
Brut--Reserve;NE2;2000-01-26 0:00:00;109;4;1
Pinot Noir;SE2;2000-01-26 0:00:00;109;5;1
Chablis;MW3;2000-01-08 0:00:00;109;3;1
Claret;SW2;2000-01-28 0:00:00;109;3;1
Sauvignon Blanc;NC3;2000-01-23 0:00:00;109;3;1
Riesling;NE2;2000-01-13 0:00:00;110;1;1
Claret;NW2;2000-01-05 0:00:00;110;1;1
Chardonnay;MW1;2000-01-27 0:00:00;110;3;1
Blanc de Blanc Brut;SW1;2000-01-07 0:00:00;110;5;1
Zinfandel Blanc;ME1;2000-01-23 0:00:00;111;2;1
Chardonnay;ME2;2000-01-12 0:00:00;111;4;1
Blanc de Blanc Brut;MW2;2000-01-06 0:00:00;111;2;1
Riesling;SW1;2000-01-12 0:00:00;111;5;1
Claret;SW2;2000-01-17 0:00:00;111;3;1
Merlot;NC1;2000-01-10 0:00:00;111;5;1
Chablis;MC2;2000-01-04 0:00:00;111;1;1
Zinfandel Blanc de Noir;MC3;2000-01-05 0:00:00;111;3;1
Brut--Reserve;NE1;2000-01-18 0:00:00;112;2;1
Cabernet Sauvignon;NE1;2000-01-27 0:00:00;112;4;1
Chardonnay;SW1;2000-01-03 0:00:00;112;3;1
Zinfandel Blanc;SW4;2000-01-27 0:00:00;112;2;1
Merlot;MC1;2000-01-11 0:00:00;112;5;1
Riesling;NW2;2000-01-22 0:00:00;113;3;1
Sauvignon Blanc;NW2;2000-01-14 0:00:00;113;3;1
Pinot Noir;NW3;2000-01-18 0:00:00;113;3;1
Zinfandel Blanc;NW3;2000-01-13 0:00:00;113;3;1
Cabernet Sauvignon;SW1;2000-01-28 0:00:00;113;4;1
Chardonnay;SW4;2000-01-27 0:00:00;113;5;1
Zinfandel Blanc;MC1;2000-01-24 0:00:00;113;3;1
Riesling;MC2;2000-01-20 0:00:00;113;1;1
Sauvignon Blanc;MC2;2000-01-07 0:00:00;113;2;1
Merlot;MC3;2000-01-07 0:00:00;113;4;1
Brut--Reserve;ME1;2000-01-20 0:00:00;114;1;1
Cabernet Sauvignon;SE1;2000-01-29 0:00:00;114;5;1
Claret;MC1;2000-01-24 0:00:00;114;1;1
Zinfandel Blanc de Noir;SW2;2000-01-17 0:00:00;115;1;1
Chablis;SW3;2000-01-04 0:00:00;115;3;1
Brut--Reserve;MC2;2000-01-08 0:00:00;115;4;1
Pinot Noir;SE3;2000-01-24 0:00:00;116;4;1
Riesling;SE3;2000-01-20 0:00:00;116;4;1
Riesling;NC3;2000-01-03 0:00:00;116;1;1
Pinot Noir;MC3;2000-01-15 0:00:00;116;3;1
Claret;NE2;2000-01-02 0:00:00;117;2;1
Blanc de Blanc Brut;SW3;2000-01-28 0:00:00;117;3;1
Brut--Reserve;NC1;2000-01-17 0:00:00;117;2;1
Blanc de Blanc Brut;NC2;2000-01-03 0:00:00;117;3;1
Merlot;NE1;2000-01-25 0:00:00;118;3;1
Sauvignon Blanc;ME1;2000-01-27 0:00:00;118;4;1
Claret;ME2;2000-01-05 0:00:00;118;1;1
Chablis;NW2;2000-01-29 0:00:00;118;5;1
Sauvignon Blanc;MW3;2000-01-07 0:00:00;118;2;1
Merlot;SW3;2000-01-05 0:00:00;118;3;1
Zinfandel Blanc de Noir;SW4;2000-01-18 0:00:00;118;3;1
Chablis;NC2;2000-01-06 0:00:00;118;2;1
Pinot Noir;MC2;2000-01-24 0:00:00;118;3;1
Pinot Noir;NW1;2000-01-10 0:00:00;119;3;1
Blanc de Blanc Brut;MW3;2000-01-02 0:00:00;119;3;1
Brut--Reserve;SW1;2000-01-25 0:00:00;119;3;1
Sauvignon Blanc;SW3;2000-01-29 0:00:00;119;2;1
Riesling;NC1;2000-01-30 0:00:00;119;3;1
Riesling;MC1;2000-01-07 0:00:00;119;3;1
Brut--Reserve;NE2;2000-01-23 0:00:00;120;5;1
Sauvignon Blanc;SE2;2000-01-26 0:00:00;120;3;1
Cabernet Sauvignon;MW3;2000-01-16 0:00:00;120;2;1
Sauvignon Blanc;SW2;2000-01-08 0:00:00;120;2;1
Cabernet Sauvignon;NC1;2000-01-10 0:00:00;120;2;1
Sauvignon Blanc;NC1;2000-01-25 0:00:00;120;3;1
Merlot;NC2;2000-01-06 0:00:00;120;4;1
Pinot Noir;NC2;2000-01-20 0:00:00;120;1;1
Brut--Reserve;MC2;2000-01-19 0:00:00;120;4;1
Blanc de Blanc Brut;MC2;2000-01-19 0:00:00;120;3;1
Pinot Noir;MC2;2000-01-07 0:00:00;120;2;1
Claret;MC2;2000-01-12 0:00:00;120;2;1
Claret;MC2;2000-01-20 0:00:00;120;2;1
Zinfandel Blanc;NW2;2000-01-12 0:00:00;121;4;1
Pinot Noir;MW1;2000-01-20 0:00:00;121;2;1
Chardonnay;NC3;2000-01-23 0:00:00;121;2;1
Sauvignon Blanc;NC3;2000-01-16 0:00:00;121;2;1
Brut--Reserve;MC2;2000-01-10 0:00:00;121;3;1
Pinot Noir;MC3;2000-01-15 0:00:00;121;3;1
Pinot Noir;SE2;2000-01-10 0:00:00;122;1;1
Zinfandel Blanc;NW2;2000-01-14 0:00:00;122;5;1
Chardonnay;MW1;2000-01-26 0:00:00;122;2;1
Cabernet Sauvignon;SW2;2000-01-30 0:00:00;122;4;1
Brut--Reserve;SW3;2000-01-26 0:00:00;122;3;1
Cabernet Sauvignon;MW1;2000-01-15 0:00:00;123;3;1
Pinot Noir;MW2;2000-01-25 0:00:00;123;5;1
Riesling;NE1;2000-01-02 0:00:00;124;5;1
Zinfandel Blanc de Noir;SE1;2000-01-06 0:00:00;124;4;1
Chardonnay;NW2;2000-01-19 0:00:00;124;3;1
Sauvignon Blanc;MW2;2000-01-22 0:00:00;124;3;1
Zinfandel Blanc;SW2;2000-01-02 0:00:00;124;3;1
Sauvignon Blanc;SW4;2000-01-19 0:00:00;124;2;1
Chardonnay;MC1;2000-01-04 0:00:00;124;3;1
Pinot Noir;MC3;2000-01-12 0:00:00;124;4;1
Blanc de Blanc Brut;NE2;2000-01-26 0:00:00;125;1;1
Chardonnay;MW2;2000-01-30 0:00:00;125;4;1
Chardonnay;MW3;2000-01-14 0:00:00;125;5;1
Sauvignon Blanc;MC2;2000-01-09 0:00:00;125;2;1
Zinfandel Blanc de Noir;NE2;2000-01-20 0:00:00;126;1;1
Blanc de Blanc Brut;SE1;2000-01-27 0:00:00;126;4;1
Brut--Reserve;MW1;2000-01-15 0:00:00;126;4;1
Claret;MW1;2000-01-11 0:00:00;126;3;1
Riesling;NC1;2000-01-22 0:00:00;126;2;1
Cabernet Sauvignon;SE1;2000-01-31 0:00:00;127;3;1
Blanc de Blanc Brut;NW2;2000-01-20 0:00:00;127;4;1
Brut--Reserve;SW2;2000-01-19 0:00:00;127;3;1
Chablis;NW2;2000-01-26 0:00:00;128;3;1
Pinot Noir;NC2;2000-01-07 0:00:00;128;1;1
Chardonnay;NC3;2000-01-05 0:00:00;128;4;1
Cabernet Sauvignon;MC3;2000-01-11 0:00:00;128;2;1
Riesling;MC2;2000-01-17 0:00:00;129;2;1
Chablis;NW1;2000-01-26 0:00:00;130;4;1
Chablis;NC3;2000-01-10 0:00:00;130;4;1
Merlot;MC2;2000-01-24 0:00:00;130;4;1
Cabernet Sauvignon;SE2;2000-01-12 0:00:00;131;3;1
Riesling;NW2;2000-01-14 0:00:00;131;2;1
Blanc de Blanc Brut;SW3;2000-01-04 0:00:00;131;3;1
Chablis;NC1;2000-01-12 0:00:00;131;2;1
Merlot;NC2;2000-01-11 0:00:00;131;3;1
Claret;SE1;2000-01-26 0:00:00;132;3;1
Chardonnay;SW1;2000-01-02 0:00:00;132;2;1
Zinfandel Blanc;SW2;2000-01-01 0:00:00;132;2;0
Blanc de Blanc Brut;SW3;2000-01-12 0:00:00;132;1;1
Sauvignon Blanc;SW4;2000-01-05 0:00:00;132;4;1
Pinot Noir;NC2;2000-01-19 0:00:00;132;2;1
Blanc de Blanc Brut;SW2;2000-01-23 0:00:00;133;2;1
Pinot Noir;SW2;2000-01-13 0:00:00;133;2;1
Chablis;NC1;2000-01-07 0:00:00;133;5;1
Chardonnay;MC2;2000-01-12 0:00:00;133;3;1
Riesling;MC2;2000-01-20 0:00:00;133;2;1
Brut--Reserve;MC3;2000-01-04 0:00:00;133;5;1
Pinot Noir;NW2;2000-01-12 0:00:00;134;5;1
Chardonnay;NW3;2000-01-04 0:00:00;134;4;1
Pinot Noir;SW4;2000-01-26 0:00:00;134;2;1
Sauvignon Blanc;NC2;2000-01-06 0:00:00;134;1;1
Zinfandel Blanc;MC1;2000-01-12 0:00:00;134;5;1
Riesling;SE2;2000-01-19 0:00:00;135;3;1
Claret;NW2;2000-01-27 0:00:00;135;3;1
Riesling;MC1;2000-01-07 0:00:00;135;2;1
Sauvignon Blanc;MW2;2000-01-07 0:00:00;136;2;1
Merlot;SW3;2000-01-29 0:00:00;136;4;1
Zinfandel Blanc de Noir;MC1;2000-01-07 0:00:00;136;4;1
Cabernet Sauvignon;NW2;2000-01-02 0:00:00;137;2;1
Riesling;SE1;2000-01-19 0:00:00;138;4;1
Zinfandel Blanc de Noir;SE2;2000-01-29 0:00:00;138;5;1
Riesling;SW1;2000-01-26 0:00:00;138;3;1
Claret;SW2;2000-01-26 0:00:00;138;3;1
Riesling;SW2;2000-01-09 0:00:00;138;4;1
Merlot;SW4;2000-01-18 0:00:00;138;2;1
Cabernet Sauvignon;NC2;2000-01-05 0:00:00;138;2;1
Zinfandel Blanc de Noir;NC3;2000-01-09 0:00:00;138;5;1
Riesling;MW1;2000-01-08 0:00:00;139;2;1
Merlot;SW4;2000-01-02 0:00:00;139;1;1
Blanc de Blanc Brut;SW4;2000-01-08 0:00:00;140;3;1
Pinot Noir;MC1;2000-01-24 0:00:00;140;2;1
Riesling;MC2;2000-01-05 0:00:00;140;4;1
Zinfandel Blanc de Noir;NE2;2000-01-07 0:00:00;141;1;1
Zinfandel Blanc;ME2;2000-01-18 0:00:00;141;1;1
Chablis;SE3;2000-01-21 0:00:00;141;2;1
Sauvignon Blanc;NW2;2000-01-13 0:00:00;141;4;1
Zinfandel Blanc de Noir;MW1;2000-01-11 0:00:00;141;4;1
Claret;MW2;2000-01-27 0:00:00;141;2;1
Riesling;MW2;2000-01-03 0:00:00;141;5;1
Zinfandel Blanc de Noir;SW2;2000-01-23 0:00:00;141;1;1
Zinfandel Blanc de Noir;MC1;2000-01-26 0:00:00;141;3;1
Cabernet Sauvignon;MC2;2000-01-10 0:00:00;141;2;1
Chablis;MW1;2000-01-17 0:00:00;142;3;1
Blanc de Blanc Brut;SE2;2000-01-02 0:00:00;143;4;1
Chardonnay;NW1;2000-01-27 0:00:00;143;2;1
Zinfandel Blanc;NW1;2000-01-18 0:00:00;143;4;1
Zinfandel Blanc de Noir;NW3;2000-01-20 0:00:00;143;2;1
Brut--Reserve;NC2;2000-01-23 0:00:00;143;3;1
Claret;MC3;2000-01-15 0:00:00;143;4;1
Claret;SW1;2000-01-10 0:00:00;144;2;1
Cabernet Sauvignon;MC1;2000-01-29 0:00:00;144;2;1
Chardonnay;MC1;2000-01-27 0:00:00;144;3;1
Claret;ME2;2000-01-01 0:00:00;145;4;0
Blanc de Blanc Brut;NW1;2000-01-31 0:00:00;145;4;1
Sauvignon Blanc;MW1;2000-01-21 0:00:00;145;3;1
Merlot;NC1;2000-01-06 0:00:00;145;3;1
Chardonnay;MC1;2000-01-26 0:00:00;145;4;1
Sauvignon Blanc;MC1;2000-01-12 0:00:00;145;4;1
Chardonnay;SE3;2000-01-18 0:00:00;146;3;1
Pinot Noir;MW1;2000-01-28 0:00:00;146;2;1
Chablis;MW3;2000-01-31 0:00:00;146;5;1
Claret;NC3;2000-01-26 0:00:00;146;2;1
Zinfandel Blanc;MW1;2000-01-26 0:00:00;147;2;1
Zinfandel Blanc de Noir;NC3;2000-01-20 0:00:00;147;2;1
Pinot Noir;NW2;2000-01-11 0:00:00;148;4;1
Chablis;MW2;2000-01-11 0:00:00;148;1;1
Chardonnay;SW3;2000-01-02 0:00:00;148;4;1
Merlot;SW4;2000-01-04 0:00:00;148;1;1
Chablis;NW2;2000-01-18 0:00:00;149;2;1
Chardonnay;NC3;2000-01-19 0:00:00;149;3;1
Pinot Noir;SW3;2000-01-06 0:00:00;150;2;1
Zinfandel Blanc de Noir;MC3;2000-01-12 0:00:00;150;3;1
Pinot Noir;SE1;2000-01-11 0:00:00;151;5;1
Zinfandel Blanc de Noir;SE3;2000-01-22 0:00:00;151;3;1
Riesling;MW3;2000-01-25 0:00:00;151;3;1
Brut--Reserve;NE1;2000-01-09 0:00:00;152;5;1
Brut--Reserve;SE1;2000-01-10 0:00:00;152;4;1
Blanc de Blanc Brut;NW1;2000-01-27 0:00:00;152;1;1
Chablis;NC2;2000-01-16 0:00:00;152;1;1
Cabernet Sauvignon;NW1;2000-01-12 0:00:00;153;3;1
Sauvignon Blanc;MW3;2000-01-08 0:00:00;153;5;1
Brut--Reserve;SW1;2000-01-29 0:00:00;153;4;1
Blanc de Blanc Brut;MC3;2000-01-13 0:00:00;153;5;1
Claret;NE2;2000-01-28 0:00:00;154;1;1
Claret;NE2;2000-01-06 0:00:00;154;2;1
Cabernet Sauvignon;NW2;2000-01-04 0:00:00;154;2;1
Brut--Reserve;MW3;2000-01-18 0:00:00;154;4;1
Chardonnay;MC1;2000-01-27 0:00:00;154;2;1
Pinot Noir;SW1;2000-01-04 0:00:00;155;4;1
Zinfandel Blanc de Noir;SW2;2000-01-18 0:00:00;155;4;1
Riesling;SW3;2000-01-27 0:00:00;155;3;1
Chablis;SW3;2000-01-18 0:00:00;155;1;1
Brut--Reserve;SW4;2000-01-30 0:00:00;155;2;1
Sauvignon Blanc;NC2;2000-01-11 0:00:00;155;5;1
Blanc de Blanc Brut;MC3;2000-01-15 0:00:00;155;3;1
Pinot Noir;ME2;2000-01-07 0:00:00;156;1;1
Claret;NW3;2000-01-24 0:00:00;156;1;1
Cabernet Sauvignon;MW1;2000-01-13 0:00:00;156;4;1
Blanc de Blanc Brut;MW2;2000-01-13 0:00:00;156;5;1
Blanc de Blanc Brut;MW3;2000-01-30 0:00:00;156;2;1
Zinfandel Blanc;MW3;2000-01-16 0:00:00;156;2;1
Riesling;SW2;2000-01-27 0:00:00;156;2;1
Merlot;NC3;2000-01-17 0:00:00;156;5;1
Claret;MC2;2000-01-12 0:00:00;156;5;1
Blanc de Blanc Brut;MC3;2000-01-08 0:00:00;156;4;1
Zinfandel Blanc de Noir;MW3;2000-01-25 0:00:00;157;5;1
Pinot Noir;NW3;2000-01-18 0:00:00;158;4;1
Brut--Reserve;MW1;2000-01-15 0:00:00;158;2;1
Brut--Reserve;NC3;2000-01-09 0:00:00;158;3;1
Zinfandel Blanc de Noir;MC1;2000-01-17 0:00:00;158;3;1
Cabernet Sauvignon;MC1;2000-01-28 0:00:00;158;3;1
Chardonnay;ME2;2000-01-25 0:00:00;159;3;1
Zinfandel Blanc de Noir;MW1;2000-01-06 0:00:00;159;4;1
Riesling;SW1;2000-01-03 0:00:00;159;1;1
Chardonnay;MC1;2000-01-06 0:00:00;159;3;1
Chardonnay;NE2;2000-01-17 0:00:00;160;1;1
Riesling;SE3;2000-01-20 0:00:00;160;4;1
Pinot Noir;NW1;2000-01-15 0:00:00;160;2;1
Pinot Noir;SW1;2000-01-06 0:00:00;160;4;1
Merlot;NC3;2000-01-13 0:00:00;160;4;1
Riesling;NC3;2000-01-25 0:00:00;160;3;1
Zinfandel Blanc de Noir;NE1;2000-01-29 0:00:00;161;2;1
Zinfandel Blanc;SE1;2000-01-26 0:00:00;161;2;1
Chardonnay;SE2;2000-01-04 0:00:00;162;1;1
Cabernet Sauvignon;NW2;2000-01-15 0:00:00;162;3;1
Zinfandel Blanc;MW1;2000-01-04 0:00:00;162;4;1
Riesling;SW4;2000-01-28 0:00:00;162;1;1
Blanc de Blanc Brut;ME2;2000-01-11 0:00:00;163;2;1
Cabernet Sauvignon;SE1;2000-01-26 0:00:00;163;4;1
Sauvignon Blanc;SE3;2000-01-18 0:00:00;163;5;1
Chablis;SE3;2000-01-17 0:00:00;163;4;1
Claret;SW2;2000-01-22 0:00:00;163;3;1
Chardonnay;SW4;2000-01-04 0:00:00;163;3;1
Riesling;NW2;2000-01-25 0:00:00;164;2;1
Claret;MW1;2000-01-24 0:00:00;164;3;1
Cabernet Sauvignon;MW2;2000-01-30 0:00:00;164;4;1
Chardonnay;NC1;2000-01-12 0:00:00;164;4;1
Zinfandel Blanc de Noir;MC1;2000-01-31 0:00:00;164;4;1
Sauvignon Blanc;MC1;2000-01-05 0:00:00;164;5;1
Pinot Noir;ME1;2000-01-02 0:00:00;165;2;1
Zinfandel Blanc;ME1;2000-01-09 0:00:00;165;3;1
Claret;SE2;2000-01-18 0:00:00;165;3;1
Claret;NC1;2000-01-21 0:00:00;165;1;1
Zinfandel Blanc;NC2;2000-01-30 0:00:00;165;3;1
Cabernet Sauvignon;NE2;2000-01-11 0:00:00;166;2;1
Riesling;NE2;2000-01-28 0:00:00;166;3;1
Zinfandel Blanc de Noir;SE2;2000-01-15 0:00:00;166;4;1
Riesling;SE2;2000-01-07 0:00:00;166;4;1
Cabernet Sauvignon;NW2;2000-01-20 0:00:00;166;5;1
Zinfandel Blanc de Noir;NC2;2000-01-25 0:00:00;166;5;1
Cabernet Sauvignon;NC3;2000-01-14 0:00:00;166;4;1
Chardonnay;NE1;2000-01-13 0:00:00;167;4;1
Zinfandel Blanc de Noir;NC2;2000-01-29 0:00:00;167;1;1
Claret;NC2;2000-01-26 0:00:00;167;4;1
Chardonnay;NC2;2000-01-20 0:00:00;167;2;1
Chablis;NE1;2000-01-12 0:00:00;168;4;1
Pinot Noir;NW2;2000-01-09 0:00:00;168;2;1
Cabernet Sauvignon;MC3;2000-01-05 0:00:00;168;2;1
Zinfandel Blanc;NE1;2000-01-26 0:00:00;169;3;1
Blanc de Blanc Brut;NW3;2000-01-19 0:00:00;169;3;1
Cabernet Sauvignon;NC3;2000-01-06 0:00:00;169;4;1
Brut--Reserve;NE2;2000-01-11 0:00:00;170;2;1
Blanc de Blanc Brut;NW2;2000-01-13 0:00:00;170;4;1
Chardonnay;MW2;2000-01-05 0:00:00;170;4;1
Zinfandel Blanc de Noir;SW4;2000-01-24 0:00:00;170;2;1
Cabernet Sauvignon;NC2;2000-01-22 0:00:00;170;2;1
Zinfandel Blanc de Noir;NC3;2000-01-18 0:00:00;170;2;1
Merlot;NC3;2000-01-26 0:00:00;170;2;1
Cabernet Sauvignon;NE2;2000-01-25 0:00:00;171;4;1
Pinot Noir;NW1;2000-01-28 0:00:00;171;2;1
Zinfandel Blanc;NW3;2000-01-19 0:00:00;171;5;1
Brut--Reserve;SW2;2000-01-11 0:00:00;171;2;1
Brut--Reserve;SW2;2000-01-11 0:00:00;171;3;1
Brut--Reserve;NC1;2000-01-02 0:00:00;171;2;1
Pinot Noir;NC3;2000-01-12 0:00:00;171;2;1
Zinfandel Blanc;MC1;2000-01-28 0:00:00;171;1;1
Pinot Noir;NE3;2000-01-18 0:00:00;172;1;1
Claret;ME1;2000-01-17 0:00:00;172;2;1
Merlot;NW1;2000-01-26 0:00:00;172;3;1
Brut--Reserve;SW2;2000-01-20 0:00:00;172;3;1
Zinfandel Blanc de Noir;NE2;2000-01-25 0:00:00;173;1;1
Claret;NE2;2000-01-11 0:00:00;173;4;1
Zinfandel Blanc de Noir;NW2;2000-01-27 0:00:00;173;5;1
Riesling;NW3;2000-01-18 0:00:00;173;1;1
Merlot;SW2;2000-01-30 0:00:00;173;2;1
Sauvignon Blanc;SW3;2000-01-03 0:00:00;173;4;1
Cabernet Sauvignon;NC1;2000-01-02 0:00:00;173;2;1
Merlot;NC1;2000-01-25 0:00:00;173;4;1
Claret;NC3;2000-01-08 0:00:00;173;1;1
Claret;MC2;2000-01-05 0:00:00;173;4;1
Sauvignon Blanc;SE1;2000-01-05 0:00:00;174;3;1
Merlot;MW3;2000-01-12 0:00:00;174;4;1
Pinot Noir;SW2;2000-01-13 0:00:00;174;1;1
Cabernet Sauvignon;NC3;2000-01-22 0:00:00;174;2;1
Riesling;NE3;2000-01-16 0:00:00;175;3;1
Riesling;SE2;2000-01-03 0:00:00;175;4;1
Chardonnay;SE3;2000-01-14 0:00:00;175;2;1
Brut--Reserve;MW1;2000-01-04 0:00:00;175;4;1
Pinot Noir;NC1;2000-01-19 0:00:00;175;3;1
Claret;NC3;2000-01-27 0:00:00;175;3;1
Riesling;NC3;2000-01-02 0:00:00;175;5;1
Brut--Reserve;NC2;2000-01-31 0:00:00;176;1;1
Riesling;NC2;2000-01-20 0:00:00;176;3;1
Pinot Noir;NE2;2000-01-12 0:00:00;177;4;1
Sauvignon Blanc;NW1;2000-01-12 0:00:00;177;1;1
Brut--Reserve;MW2;2000-01-16 0:00:00;177;4;1
Chardonnay;SW4;2000-01-11 0:00:00;177;2;1
Zinfandel Blanc;NC1;2000-01-25 0:00:00;177;5;1
Cabernet Sauvignon;NC2;2000-01-18 0:00:00;177;2;1
Cabernet Sauvignon;MW1;2000-01-26 0:00:00;178;5;1
Zinfandel Blanc de Noir;SW1;2000-01-25 0:00:00;178;5;1
Sauvignon Blanc;SW1;2000-01-18 0:00:00;178;4;1
Chablis;SW2;2000-01-06 0:00:00;178;3;1
