kunde,artikel,artikelbezeichnung
00061,1330,"SW Gdata AnitVirenKit Client/server 5U"
00061,2120,"Archit. Desktop 2005 NLS Sidegrade dt. ADT 2005 NLS Sidegrade Wandlung von"
00061,755,"ColdFusion MX6.1 EN Ent. Comm + Subs ColdFusion MX 6.1 EN Enterprise Com"
00026,2257,"HD DiamondMax/80GB SATA150 7200 8MB Ret "
00026,1645,"HD Allegro AL 8LX/73,5GB U320 68p 15krpm"
00026,2099,"SW WinFax Pro 10.0 dt. CD W95/98/NT 5 U. SYMANTEC 12-00-91134-GE"
00310,793,"Backup Exec 9.1 W2NT Desktop+Laptop 100x Backup Exec 100 Desktops-Laptops v9"
00310,755,"ColdFusion MX6.1 EN Ent. Comm + Subs ColdFusion MX 6.1 EN Enterprise Com"
00625,1644,"AutoCAD LT Bibliothek Elektrotechnik dt. AutoCAD LT Bibliothek Elektrotechni"
00625,2224,"HV Map 2005 dt. CD WNT HV Map 2005 dt. CD WNT Händlerversi"
00625,174,"GLP/MntR ARCsPremEx Bdl v11.1/EN W2Rw2Yr BrightStor ARCserve Backup r11.1 fo"
00625,993,"C++BuilderX Mobile Edition dt. CD W32 C++BuilderX Mobile Edition dt. CD W"
00625,1535,"AutoCAD LT Bibliothek Haustechnik dt. AutoCAD LT Bibliothek Haustechnik d"
00625,2480,"Care Pack LaserJet 9000 Serie 3J NBD HP "
00625,590,"SW Dreamweaver MX 2004 D, Macromedia nutzen Sie die Graceperiod - jetzt"
00710,1045,"SW MS Windows XP Home SB dt. CD 1er ! deutlich verbessertes Design und St"
00710,1262,"AutoSketch 9.0 englisch Vollversion AutoSketch 9 engl. Vollversion 9.0"
00732,1919,"BrightStor ARCserve v9 NW e. Image Opt BrightStor ARCserve v9 NW e. Image"
00732,768,"""LCD Display 17"""" Belinea 101715 Audio 250"""""""
00732,182,"AutoCAD 2004 span. CD WNT AutoCAD 2004 span. CD WNT Vollversi"
00732,1529,"IBM Remote Deployment Manager 100 client IBM Remote Deployment Manager 100 c"
00732,2147,"G200 MMS QUAD 8MB SGRAM PCI W/ TV-TUNER "
00621,1473,"""LCD Display 18"""" Viewsonic VP181b DVI-D 1"""""""
00621,2174,"HP DDS 3.0 Secure Workflow HP DDS 3.0 Secure Workflow für 10 G"
00158,1541,"Kleinkopierer FC120 A4, 4 S. Kleinkopier"
00158,2450,"K8N-E Deluxe,S754,Nvidia NForce3,ATX MB "
00158,841,"FC100 A4, 4 S./Min. CANON Kleinkopierer "
00355,1611,"USV APC_SW PowerChute Plus für SCO UNIX DEC, OSF/1 IBM AIX Sun Solaris, NCR"
00355,1076,"""170B4BS 17"""" TFT.264 DVI-I/VGA TCO99 170B4"""""""
00355,1234,"AutoCAD 2005 nord. Vollversion AutoCAD 2005 nord. Vollversion meh"
00355,1629,"CORELDRAW 12 e. CD WIN GRAPHIC SUITE CORELDRAW 12 e. CD WIN GRAPHIC SUIT"
00355,2478,"""LCD Display 23"""" BenQ FP231W DVI/VGA 23 """""""
00355,641,"Cisco 2600 IP/IPX/AT/DECnet/FW Plus FP Cisco 2600 IP/IPX/AT/DECnet/Firewal"
00355,2263,"Genius HV Inventor 7 Einzelpl.dt. Genius HV Inventor 7 für 6 User dt."
00355,2039,"HD Allegro AL 8LX/36.7GB U320 68p 15krpm"
00355,499,"Archit. Desktop 2004 NLS Sidegrade dt. ADT 2004 NLS Sidegrade Wandlung von"
00622,1964,"""LCD Display 17"""" Benq FP783 81kHz TCO99 1"""""""
00622,1784,"Care Pack LaserJet 4200 AMS HP Care Pack"
00622,22,"AntiVirus MultiProtSMB v4/EN CD Win 25u AntiVirus SMB MULTI Tier Protection"
00622,1610,"David MX 5000 Accounts 7 dt CD Win 250p Erweitert MS Exchange 2003, Exchang"
00206,1738,"""LCD Display 22.2"""" Iiyama AQU5611DTBK 56c"""""""
00206,1002,"Crystal Reports Adv Dev Eval 10 e CD 30T Crystal Reports Adv Dev Eval 10 e C"
00206,952,"SW CA eTrust Antivirus v7 dt. 5user Computer Associates# ETRAVE7005BPMG"
00206,1248,"Cisco 800 IOS/IP/FW Plus IPSEC 56 Cisco 800 IOS/IP/FW Plus IPSEC 56 F"
00486,348,"SW Symantec pcAnywhere Host+Remote 11.0 dt. W32, Symantec 10092985-GE"
00486,2330,"AcuLaserC8600PS A3 color USB PAR N IC 60"
00486,1061,"Avirus MTP SMB R4/DE CD 10U Win AntiVirus SMB MULTI Tier Protection"
00486,433,"Cisco 7200 Enterprise Feature Pack Cisco 7200 Enterprise Feature Pack"
00486,870,"SW AntiVirus SMB WS+NSvr 8.1 dt. 5U Business Edition für Workstation N"
00486,2118,"Bor Together Control Center 6.2dt CD Borland Together Control Center 6.2"
00486,983,"Architectural Desktop 2004 dt. Legacy Architectural Desktop 2004 dt. Lega"
00486,2461,"CUGInv.Ser.9NLSv.LT2000i/02/04/05dt.Mast CUG Inv.Series 9 NLS von LT dt. von"
00486,2156,"FrameMaker 7.1 e. CD Win FrameMaker 7.1 e. CD Win 7.1/ engl"
00803,572,"Bintec SW-Lizenz für VPN (PPTP) X3200 Bintec SW-Lizenz für VPN (PPTP) X32"
00803,2289,"iGrafx Process 2003 Six Sigma dt CD W32 Process 2003 Six Sigma/DE CD W32 S"
00803,2193,"""IBM 19"""" C190 CRT .25 96KHz TCO99 schwarz"""
00803,170,"""LCD Display 17"""" E-YAMA 17JN1 17 """" LCD/ a"""""""
00803,140,"ColorLaserJet2550LN A4 color USB PAR NIC"
00803,955,"After Effects Pro v6.5 /EN CD W32 Ret After Effects PB 6.5 e. CD Win 6.5"
00803,2160,"AutoCAD 2004 fran. CDWNT Vollversion AutoCAD 2004 franz. CDWNT Vollversi"
00803,2481,"""LCD Display 15"""" Neovo F-415B schwarz ana"""""""
00388,796,"BrightStor ARCsvr R11.1 W2NT TapeRAID BrightStor ARCserve R11 W2NT TapeRA"
00388,1268,"""Monitor 19"""" /47cm AOC 9G+ , 98KHz TCO03 0"""""""
00358,644,"GLP ERwin Data Mod. 4.1.4 e. +1Yr Mnt GLP AllFusion ERwin Data Modeler 4."
00358,1228,"915G Combo-FR PCI Ex 2GB DDR2 MB 915G Co"
00358,536,"Acrobat Std 6.0 it. CD Win Acrobat Std 6.0 it. CD Win"
00358,2078,"Ful Fontographer 4.1/EN Mac Fontographer 41 EN Mac Full ###KST"
00358,82,"Cisco 4000 IOS Basic L3 Software Cisco 4000 IOS Basic L3 Software"
00358,1910,"CISCO 2600 IOS Enterprise Basic CISCO 2600 IOS Enterprise Basic"
00358,1227,"SO-A MSI KT4VL ATH SocketA FSB333 AC97 N"
00358,2587,"CUGInv.Serie6NLSv.ACAD2000i/02dt.Folge. CUG Inventor Series 6 NLS v . Auto2"
00177,145,"Architectural Desktop 2004NLSAdd.Lic.dt. Architectural Desktop 2004NLSAdd.Li"
00177,1780,"SW Macromedia Flash MX 2004 D nutzen Sie die Graceperiod - jetzt"
00177,2403,"""LCD Display 20.1"""" FSC 5110 FA TCO99 DVI """""""
00177,1509,"K8T Master1-FAR 1X OPTERON 8GB AC97 MB K"
00177,2195,"MS Windows 2000 Pro holl. CD MS Windows 2000 Pro holl. CD"
00177,2596,"""170S5FG/17"""" TFT .264 82kHz TCO03 grey 17"""""""
00177,1890,"Cisco 3600 IP/IPX/AT/DECnet Plus FP Cisco 3600 IP/IPX/AT/DECnet Plus Fe"
00660,614,"P4 Intel_D865PERLL, i865PE MB D865PERLL,"
00660,436,"HP Software RIP für Designjet 30 Serie HP Software RIP für Designjet 30 Se"
00660,1595,"LaserJet 4200DTNSL 64MB 33S 1200d dt. HP"
00660,2223,"Cisco 2600 Ser IOS IP PLUS Cisco 2600 Serie IOS IP PLUS Featur"
00660,1026,"CUG Inv. Series9 NLSv.Inv.5dt.Folge.+Sub CUG Inventor Series 9 NLS v. Invent"
00660,2070,"Borland Mobile Studio Sony/Er Ed dt. CD Borland Mobile Studio Sony/Ericsson"
00660,2410,"TOP x345 Xeon 2.8 2x512MB nHDD RACK IBM "
00176,999,"""E92f+sb/19"""" Fls .25 97kHz TCO03 silv/bla"""""""
00176,327,"SW Tobit Time:LAN f. NetWare u. NT, v6.0 f. Single u. Multiserver, TOBIT 310"
00176,2458,"InterBase 7.x e. 20 Sim. User W32 InterBase 7.x f. Win e. 20 User Si"
00176,1971,"""LCD Display 19"""" NEC 1960NXi DVI-D/VGA TC"""""""
00176,264,"""FSC CRT 17"""" B772-1 72KHZ TCO99 GV 3J. FS"""""""
00176,1153,"""150S5FS 15"""" TFT.297 silber 16ms TCO03 15"""""""
00592,2607,"FSC Admin SW SCOUT eL1-250 User Lizenzen FSC Admin SW SCOUT eL1-250 User Liz"
00592,2144,"""LCD Display 19"""" Acer AL1931 ANAL/DIGIT 1"""""""
00592,2628,"VGA 128MB FX5700LE-TD128 MSI GF 128MB DD"
00592,1985,"EPL-N27xx/PS Grossraumpapierbeh. EPSON E"
00592,2320,"""LCD Display 17"""" Eizo L557, 1280*1024 17 """""""
00100,2593,"HDD 120GB SATA8.9MS 7200RPM 2MB RETAIL N"
00100,1829,"""LCD Display 15"""" EIZO L367-K, schwarz, 60"""""""
00100,879,"Lexware College L+G PRO 2004 1.0 dt Lexware College Lohn + Gehalt PRO 2"
00100,219,"SW NERO V6.0 POWERPACK AHEAD Diverse 60075 to 4-pol SVHS-Plug"
00320,998,"MS Windows 2000 Server + 5 Cl. it. CD MS Windows 2000 Server + 5 Cl. it."
00320,357,"CUG Inventor Ser.9 v. MDT5/6PPNLSdt.+Sub CUG Inventor Series 9 v. MDT5/6PP N"
00320,893,"VGA A9550/TD/128MB,1*DVI,2*VGA, 8x AGP V"
00320,2426,"SW Lexware Quicken 2004 11.0 dt CD W32 Finanzsoftware, deutsch/ Vollve"
00320,1697,"AntiVirus v9 SMB/GPWR Prot. IT CD 5U AntiVirus SMB GROUPWARE PROTECTION"
00465,1375,"Delphi Architect STeam Pk 7.0 dt. CD W32 Delphi Architect SmalTeam Pack 7.0"
00465,1272,"Lexware College Buchh. PRO 2004 1.0 dt. Lexware College Buchhalter PRO 2004"
00465,697,"FSC RemoteView Software 3.10 FSC RemoteView Software 3.10 RXx00"
00465,1228,"915G Combo-FR PCI Ex 2GB DDR2 MB 915G Co"
00465,2240,"925X Neo Plat. LGA775 PC54G PCIX MB 925X"
00374,2639,"Backup Exec 9.1 NW Remote Ag W2NT 1er Backup Exec 9.1 NW Remote Ag W2NT 1"
00374,951,"SW AVM AccessServer Basic bis zu 10 VPN-Verbindungen u. ISDN-"
00374,1701,"Architectural Desktop 2005 dt. Legacy Architectural Desktop 2005 dt. Lega"
00445,323,"GLP UP BrightStor ARCs v9 NW dt. GrpWise GLP UP BrightStor ARCs v9 NW dt. Gr"
00445,76,"VGA EAX300SE/T/128MB PCIeX16 VGA EAX300S"
00445,26,"Client Sec 2 GPWR Prot. B.Pack DE CD 10U Client Security 2.0 BUSINESS PACK G"
00445,1831,"Client Security SMB 1.1 e. 5U CD W32 Client Security SMB 1.1 e. 5U CD W3"
00445,864,"HD Allegro AL 8LX/18.4GB U320 68p 15krpm"
00445,1048,"David MX 100 Accounts 7 dt CD Win + 4p David MX 100 Accounts 7 dt CD Win +"
00445,2636,"LIG BAB R11 Image Opt +1Yr Value Mnt GLP Brightstor Arcserve R11 Image O"
00445,1459,"Acrobat Std 6.0 e. CD Win Acrobat 6.0 e.CD W9.x/NT4 6.0 WIN/"
00507,2233,"LIG BAB R11 OF Opt+2Yr Enterpr Mnt GLP Brightstor Arcserve R11 Open Fi"
00507,2470,"LaserJet 4200LN 48MB 28S 1200dpi dt. HP "
00507,2206,"PARHELIA 256MB DDR PCI 3XRGB 2XDVI TVO H"
00507,918,"Cisco 3725 Serie IOS IP Feature Pack Cisco 3725 Serie IOS IP Feature Pac"
00507,735,"VIEWSONIC G90F+B 19Zoll CRT 97kHz TCO99 "
00507,1571,"Flash Com Server MX v1.5 Prof Edit/EN CD Flash Comm Server MX 1.5 EN Profess"
00669,1111,"VGA EAX600XT TD 128MB PCIeX16 VGA EAX600"
00669,2174,"HP DDS 3.0 Secure Workflow HP DDS 3.0 Secure Workflow für 10 G"
00669,1328,"SW Flash 5.0 d. WIN MACROMEDIA FLW50G01"
00299,2031,"AcuLaser C8600PS 35S. s/w 8S. Farb EPSON"
00299,439,"SW MS Windows_98 2nd (englisch) Microsoft A66-00010"
00299,1798,"""LCD Display 15"""" HP L1502 TCO99 HPTC 15"""" """""""
00725,29,"Laserjet4200n A4 monochrom PAR"
00725,2002,"CQ Integrated Lights Out Advanced Pack CQ Integrated Lights Out Advanced P"
00725,790,"SW NAI ACTIVE VIRUSSCAN SB V7.0 10U W/1Y Conn GR Network Associates SVS70G01"
00725,1460,"GLP eTrust Antivirus v7 dt. 100-249u +2 GLP eTrust Antivirus v7 dt. 100-249"
00345,2531,"CUG Mechan.2005v..ACAD2000iNLSdt.Folge CUG Mechanical 2005 v. AutoCAD 2000"
00345,1452,"EPL-N27xx/PS Zusatzpapiermagazin EPSON E"
00345,2227,"""LCD Display 15"""" V7 L15EM mit LS 15 """" LCD"""""""
00543,1212,"HORNET V40 20GB IDE ATA-6 2.5IN 7.1MS 42"
00543,1567,"Cisco 3620 Ser IOS ENT PLUS Feature Pack Cisco 3620 Ser IOS ENT PLUS Feature"
00543,2109,"HD DiamonMax 10/200GB SATA150 7200rpm HD"
00023,1507,"Backup Exec 9.1 NW Server dt. Backup Exec 9.1 NW Server dt. Lize"
00023,1795,"SW Norton Internet Security Pro 2004 7.0 deutsch/ Vollversion/ Format: Box/"
00023,514,"Li/Chrystal Reports Prof v.10 EFIGS B Li/CRYSTAL REPORTS 10, Professional"
00023,2113,"SB MS SBS 2003 Device Cl. e.1-P.(5 Cl.) SB MS SBS 2003 Device Cl. e.1-P.(5"
00023,1507,"Backup Exec 9.1 NW Server dt. Backup Exec 9.1 NW Server dt. Lize"
00117,2035,"AcuLaser C4000PS 192MB 16ppm A4 EPSON Ac"
00117,1329,"LIG BAB R11 MS Exchange +3Yr Value Mnt GLP Brightstor Arcserve R11 MS Exch"
00117,154,"""LCD Display 17"""" Neovo X-17AV Glasplatte """""""
00443,2076,"845GE Max-L,S478,i845GE,Lan,USB2.0, MB 8"
00443,1021,"""109B50 19"""" FST-NF.25 97kHz TCO03 109B50 1"""""""
00443,1614,"Monitorlautsprecher LCD3000 LCD4000 Moni"
00443,1153,"""150S5FS 15"""" TFT.297 silber 16ms TCO03 15"""""""
00443,1551,"FSC DeskView Lizenzpaket, 10 Liz. FSC DeskView Lizenzpaket, 10 Liz."
00618,372,"Client Sec 2 GPWR Prot. B.Pack DE CD 5U Client Security 2.0 BUSINESS PACK G"
00618,1043,"Apple Keynote CD Mac englisch Apple Keynote CD Mac englisch 1.0/"
00747,1766,"P80 120GB 2MBKapazität: 120 GB/ UDMA/133"
00747,1171,"HV Contribute 3.0 e. CD mlp HV Contribute 3.0 e. CD mlp - Not f"
00747,1586,"Lasejet 4300DTN 80MB 43S 1200dpi dt. Las"
00747,833,"After Effects Std 6.5 dt CD Win After Effects Std 6.5 dt CD Win 6."
00747,513,"BrightStor ARCs Oracle R11.1/NON CD W2NT BrightStor ARCserve R11 W2NT Oracle"
00747,2154,"JBuilder Foundation X e. CD JBuilder Foundation X e. CD Win/Lin"
00293,41,"Inventor Profession.9Master NLS+Sub dt. Inventor Professional 9 Server NLS"
00293,1109,"SO-A MSI K7N2Delta-L nForce2 DDR 400, AT"
00293,826,"Delphi 8 Enterp Ed Small Team F/S dt. CD Delphi 8 Enterp Ed Small Team F/S d"
00293,2579,"651M-V PE4 Socket478 FSB533 mATX NIC MB "
00293,2023,"P4 Intel Server S875WP1LX ATX"
00293,753,"""LCD Display 17"""" Acer AL1714, 14ms ! 17 """""""
00769,2074,"AcuLaser C4100 64MB 24ppm A4 EPSON AcuLa"
00251,2035,"AcuLaser C4000PS 192MB 16ppm A4 EPSON Ac"
00251,2643,"MSI MX4000 T128 GF4 MX4000 128MBDDR BLK "
00251,621,"SW Backup Exec 9.0 Server W2NT Full Pack Produkt dt. CD, V9.0 SRV sichert e"
00251,15,"LaserJet 4300DTNSL 80MB 43S 1200d dt. HP"
00251,2221,"""HP CRT V7550 17"""" .24 85kHz TCO99 2Tone"""
00251,1582,"250GB SATA HDD DRIVE MODUL für FASTT EXP"
00501,2409,"SO-A Asus A7N8X-X, nForce2 SPP, A MB A7N"
00501,1533,"LIG BAB R11 Optical Library Option GLP Brightstor Arcserve R11 Optical"
00501,2249,"MS Small Business Sv 2003 en CD DVD 5Clt MS Small Business Server 2003 en. C"
00501,135,"D865PERLK,S478,i865PE,ATX,DDR400,GbLA MB"
00501,960,"MS ISA (Int.Sec.+Accell.) Sv. 2004 d. CD MS ISA (Int.Sec.+Accell.) Sv. 2004"
00501,215,"RADEON RX600XT-TD128 128MB DDR PCI16X -E"
00501,877,"eTrust Avirus v7.1/DE CD WNT 1u eTrust Antivirus v7.1 dt. - 1 User"
00501,810,"CUGInv.Serie6NLSv.ACAD2000i/02dt.Master CUG Inventor Series 6 NLS v . Auto2"
00338,175,"HD Allegro AL 8LE/36,7GB U320 80p 10krpm"
00338,1774,"CORELDRAW Graphic Suite v12 + MP3 Player CORELDRAW Graphic Suite v12 + MuVo"
00338,171,"AutoCAD 2005 NLS dt. Legacy Masterlizenz ACAD 2005 NLS dt. Netzwerk Master L"
00205,1283,"MILLENNIUM G550 DH 32MB DDR 360MHZ RAMDA"
00205,1795,"SW Norton Internet Security Pro 2004 7.0 deutsch/ Vollversion/ Format: Box/"
00205,661,"""Monitor 17"""" /43cm Nokia 447Xpro, 96kHz TR"""""""
00205,215,"RADEON RX600XT-TD128 128MB DDR PCI16X -E"
00454,1091,"Color LaserJet 8550MFP 64MB 24S HP Color"
00454,2676,"Cisco 3600 IP Plus IPSEC 3DES FP Cisco 3600 IP Plus IPSEC 3DES Featu"
00454,637,"""LCD Display 17"""" LG L1711S silber/dunkel-"""""""
00454,667,"GLP Model Navigator 4.1.4 e. GLP AllFusion Model Navigator 4.1.4"
00454,2493,"EPL-N205x Grossraumpapierbehaelter EPSON"
00454,1813,"MS Windows 2000 Server + 10 Cl. cz. CD MS Windows 2000 Server + 10 Cl. cz."
00454,563,"Cisco 2600 IP/IPX/AT/DECnet Feature Pack Cisco 2600 IP/IPX/AT/DECnet Feature"
00742,1785,"Bintec SW-Lizenz für VPN (PPTP) X2404 Bintec SW-Lizenz für VPN (PPTP) X24"
00742,1082,"CUG Mechanical6PPv.2000i/02NLSdt.Master CUG Mechanical 6PPv. 2000i/02 NLSdt"
00279,392,"D915PCY/LGA775 ATX DDR2 MB D915PCY/LGA77"
00279,1060,"HV David Corp Ed 8 dt CD mlp 50u, 4p HV David Corporate Ed 8 dt CD mlp 5"
00279,1785,"Bintec SW-Lizenz für VPN (PPTP) X2404 Bintec SW-Lizenz für VPN (PPTP) X24"
00734,833,"After Effects Std 6.5 dt CD Win After Effects Std 6.5 dt CD Win 6."
00734,128,"FSC RemoteView Service Board FSC RemoteView Service Board TX150"
00734,1539,"Cisco 2600XM Ser IOS IP/IPX/APPLETALK PL Cisco 2600XM Ser IOS IP/IPX/APPLETA"
00734,1449,"PHILIPS 105S61 15Zoll CRT 54kHz"
00734,105,"""LCD Display 17"""" Neovo E-17B Glasplatte a"""""""
00734,2249,"MS Small Business Sv 2003 en CD DVD 5Clt MS Small Business Server 2003 en. C"
00734,1615,"Borland C++ Builder Ent. 6.0 dt. CD W32 Borland C++ Builder 6.0 Ent. dt. CD"
00734,906,"Cisco 2600XM Ser IOS ENT/FW/IDS IPSEC Cisco 2600XM Ser IOS ENT/FW/IDS PLU"
00292,1322,"LaserJet2300D A4 USB PAR Fujitsu-Siemen"
00292,2026,"GLP UP eTrust Antivirus v7 dt. >750u +3 GLP UP eTrust Antivirus v7 dt. >750"
00292,1083,"Client Sec 2 BUSENESS PACK ES CD 25U Client Security 2.0 BUSINESS PACK E"
00677,527,"JBuilder Developer Edition X dt. CD JBuilder Developer Edition X dt. CD"
00677,376,"CUG ADT2004v.AutoCAD04/02/2000i franz. CUG ADT2004v.AutoCAD04/02/2000i fra"
00677,62,"A9200SE/T/128MB RADEON 9200SE 128MB AGP8"
00182,1186,"LIG BAB R11 e. Clt Ag LX +1Yr EnterprMnt GLP Brightstor Arcserve R11 e. Clie"
00182,2499,"""Monitor 19"""" /47cm Philips 109B50 19 """" CRT"""""""
00182,731,"Envision 8 dt. CD dt. Envision 8 dt. CD Nachfogler vom On"
00182,2606,"Mac OS X Server 10.3/DE CD Mac 10u Mac OS X Server 10.3 Panther CD Mac"
00182,221,"IBM VMware ESX Svr v1.5/EN CD CrPf f IBM VMware ESX Svr v1.5/EN CD CrPf"
00182,2271,"Laserjet9000 Fujitsu-Siemens "
00269,2538,"LIG BAB R11 OLO +1Yr Value Mnt GLP Brightstor Arcserve R11 Optical"
00269,1102,"BrightStor ARCserve v9 Uni AG dt. NW BrightStor ARCserve v9 Uni AG dt. N"
00383,2194,"AutoCADLT Bibliothek BrandKatastr.Schutz AutoCAD LT/Autosketch Bibliothek Br"
00383,2244,"HD Allegro AL 8LE/36,7GB U320 68p 10krpm"
00383,2322,"Cisco 3640 Ser IOS IP/IPX/APPLETALK Cisco 3640 Ser IOS IP/IPX/APPLETALK"
00383,888,"Grand Central Pro 3.1 dt. 3fach Lizenz Grand Central Pro v3/DE 3fach Lizen"
00488,1544,"SW Gdata AVK Client/server Erw. 1U(6-10) Anti-Viren-Kit Erweiterung um 1 Use"
00488,106,"CUG ADT2004v.AutoCAD04/02/2000i dt. CUG Architectural Deskop 2004 v.Aut"
00488,37,"LIG BAB R11 Oracle Ag +1Yr Enterpr Mnt GLP Brightstor Arcserve R11 Oracle"
00488,368,"Cisco 1700 IP/ Firewall Feature Pack Cisco 1700 IP/ Firewall Feature Pac"
00488,2056,"""LCD Display 17"""" Neovo X-17A Glasplatte d"""""""
00660,1297,"Cisco 2600 IP/FW Plus IPSEC 3DES FP Cisco 2600 IP/Firewall Plus IPSEC 3"
00794,2453,"LIG BAB R11 MS SQL +2Yr Value Mnt GLP Brightstor Arcserve R11 MS SQL"
00794,1803,"LIG BAB R11 NAS Option +2Yr Enterpr Mnt GLP Brightstor Arcserve R11 NAS Opt"
00018,2677,"VGA 64MB Millennium P750 DDR 256GPU Reta"
00018,2574,"LaserJet2300D A4 USB PAR (AR)(EN) 110 V "
00018,2577,"CAD UG LDT 2005NLS v.LDT2004 eng.Master CAD UG LDT 2005NLS v.LDT2004 eng.Ma"
00018,1944,"LIG BAB R11 Open File Opt +3Yr Value Mnt GLP Brightstor Arcserve R11 Open Fi"
00018,995,"GLP UP ERwin Data Modeler 4.1.4 +1Yr Mnt GLP UP AllFusion ERwin Data Modeler"
00018,741,"""Monitor 19"""" /47cm Iiyama HM903DT, 130Khz """""""
00507,35,"SB MS Win 2000 Clients e. 1-P. (5 Cl.) SB MS Windows 2000 Clients e. 1-P."
00507,2272,"146.8GB 10K-4 FC HDD HOTSWAP FASTT200 FA"
00289,244,"GLP eTrust ID URL Sub SS v2 e. 500u GLP eTrust ID URL Sub SS v2 e. 500u"
00289,904,"Lexware Lohn+Gehalt 2004 8.1 dt CD Lexware Lohn + Gehalt 8.1 2004 dt."
00289,2526,"HDD 73.4 GB U320 10000RPM IBM HDD 73.4 G"
00289,1589,"Inventor Series 8 NLS Add.Lic.dt. Inventor Series 8 NLS Add.Lic. AIS"
00289,2414,"BrightStor ARCserveR11.1 CltAg e. MAC OS BrightStor ARCserve R11 Clt AG e. M"
00770,336,"Crystal Reports Pro 10.0 mll CD Win Crystal Reports Pro 10.0 mll CD Win"
00770,1001,"Civil Design 2004 engl. NLS Civil Design 2004 engl. NLS"
00770,2424,"CUG Inv.Series9v.LT2000i/02/04/05dt.Folg CUG Inv.Series 9 NLS v. LT dt. von"
00770,1484,"Acrobat Std 6.0 frz. CD Win Acrobat Std 6 frz CD Win"
00770,960,"MS ISA (Int.Sec.+Accell.) Sv. 2004 d. CD MS ISA (Int.Sec.+Accell.) Sv. 2004"
00242,2023,"P4 Intel Server S875WP1LX ATX"
00242,2473,"""LCD Display 17"""" FSC X17-2 82kHz TCO03 3J"""""""
00083,1487,"Corel KnockOut v2 e. CD CrPf Corel KnockOut 2 e. CD CrPf 2.0/ e"
00083,2215,"Architectural Desktop 2004 engl.CDNT Architectural Desktop 2004 engl. CD"
00083,1777,"GLP Solution Kit für Re-Order Security GLP Solution Kit für Re-Order Secur"
00676,1333,"MS Windows XP Pro holl. CD WXP MS Windows XP Pro nl. CD WXP"
00676,589,"BrightStor ARCserve v9 e. Open File Win BrightStor ARCserve v9 e. Open File"
00676,1313,"x206 P4 3.2 512MB nHD CD IBM x206 P4 3.2"
00676,2234,"SW Lexware Buchhalter 2004 9.0 dt CD CD Einzelplatzversion, 9.0/ deutsch"
00676,790,"SW NAI ACTIVE VIRUSSCAN SB V7.0 10U W/1Y Conn GR Network Associates SVS70G01"
00676,1296,"Bintec SW-Lizenz für VPN (PPTP) X4000 Bintec SW-Lizenz für VPN (PPTP) X40"
00676,569,"AutoCAD 2004 poln. CD WNT AutoCAD 2004 poln. CD WNT"
00237,1732,"JBuilder Enterprise WebLogic Ed e. CD JBuilder Enterprise WebLogic Ed e."
00237,2138,"SW Adobe Audition 1.5 dt CD Win Adobe 22011064 1.5/ deutsch/ Vollv"
00237,56,"65PERL/478 i865PE ATX 4GB AGP8x 800FSB M"
00237,920,"A9200SE/T/P/64M/A RADEON 64 MB/ Speicher"
00237,1234,"AutoCAD 2005 nord. Vollversion AutoCAD 2005 nord. Vollversion meh"
00237,1842,"VGA PARHELIA 512GPU PCI DH 256MB VGA PAR"
00237,761,"AutoCAD NLS Sidegrade-Gebühr AutoCAD NLS Sidegrade-Gebühr- bei U"
00237,78,"SW Backup Exec 9.1 W2NT SBS Standard dt. V9.1 Standart für SMALL BUSINESS/"
00237,1563,"Acrobat Capture 3.0 mll CD Win DNGRP 20K Acrobat Capture 3.0 e CD multi DNGR"
00371,1777,"GLP Solution Kit für Re-Order Security GLP Solution Kit für Re-Order Secur"
00371,1191,"Cisco 3620 Ser IOS IP PLUS Feature Pack Cisco 3620 Ser IOS IP PLUS Feature"
00371,1725,"LIG BAB R11 DRO +1Yr Enterpr Mnt GLP Brightstor Arcserve R11 Disaste"
00371,1842,"VGA PARHELIA 512GPU PCI DH 256MB VGA PAR"
00793,2262,"LIG BAB R11 e. Clt Ag LX +2Yr Value Mnt GLP Brightstor Arcserve R11 e. Clie"
00793,241,"VGA 128MB FX5200-TDR128 MSI DDR AGP8X DV"
00793,2195,"MS Windows 2000 Pro holl. CD MS Windows 2000 Pro holl. CD"
00793,1593,"Lasejet Color 4600N 96MB 16S 600dpi A4 6"
00793,888,"Grand Central Pro 3.1 dt. 3fach Lizenz Grand Central Pro v3/DE 3fach Lizen"
00066,2564,"SW BrightStor ARCserve v9 Uni AGe. Linux Computer Associates# BABWBN2900E20"
00066,1923,"Care Pack 12Plus f.Color LaserJet HP Car"
00066,324,"GLP UP eTrust Antivirus v7 dt. -249u +3 GLP UP eTrust Antivirus v7 dt. -249"
00254,1452,"EPL-N27xx/PS Zusatzpapiermagazin EPSON E"
00254,134,"EAX300TD/128 RADEON X300 128MB DDR PCI-E"
00807,919,"E7505 Master2-F 2xXe 8GB ATA133 AC97 MB "
00486,2430,"SW Veritas Backup Exec 9.1 W2NT Lotus Do Backup Exec Lotus Domino + Client A"
00486,2108,"Samsung HD Multi Bay-Rahmen f 2. HD Sams"
00486,1056,"""LCD Display 19"""" Belinea 101920 Audio TFT"""""""
00486,2295,"Adobe PSE 2.0 + PSA 2.0 dt. CD Win Mac Photoshop Elements 2.0 + Photoshop"
